Event Receive Time,Event ID,Event Type,Event Name,Incident Reporting Device,Incident Source,Source IP,Source TCP/UDP Port,Incident Target,Destination IP,Destination TCP/UDP Port,Event Severity Category,Event Severity,Count
2020-07-13 17:38:08,,PH_RULE_INAPPROPRIATE_WEB_TRAFFIC,Inappropriate Website access detected,Sonicwall,"srcIpAddr:192.168.141.32,",192.168.141.32,,,,,MEDIUM,7,27
2020-07-13 17:38:08,,PH_RULE_INAPPROPRIATE_WEB_TRAFFIC,Inappropriate Website access detected,Sonicwall,"srcIpAddr:192.168.181.16,",192.168.181.16,,,,,MEDIUM,7,4590
2020-07-13 17:38:08,,PH_RULE_INAPPROPRIATE_WEB_TRAFFIC,Inappropriate Website access detected,Sonicwall,"srcIpAddr:192.168.151.143,",192.168.151.143,,,,,MEDIUM,7,529
2020-07-13 17:38:08,,PH_RULE_INAPPROPRIATE_WEB_TRAFFIC,Inappropriate Website access detected,Sonicwall,"srcIpAddr:192.168.151.125,",192.168.151.125,,,,,MEDIUM,7,1204
2020-07-13 17:38:08,,PH_RULE_INAPPROPRIATE_WEB_TRAFFIC,Inappropriate Website access detected,Sonicwall,"srcIpAddr:192.168.151.8,",192.168.151.8,,,,,MEDIUM,7,2370
2020-07-13 17:38:08,,PH_RULE_EXCESS_DENY_EXT_COUNTRY,Excessive Denied Connections From An External Country,"Sonicwall,paloalto","srcGeoCountry:Ukraine,",,,,,,MEDIUM,7,1327
2020-07-13 17:38:08,,PH_RULE_EXCESS_DENY_EXT_COUNTRY,Excessive Denied Connections From An External Country,"HOST-10.204.1.13,Sonicwall,paloalto","srcGeoCountry:Kazakhstan,",,,,,,MEDIUM,7,245
2020-07-13 17:38:08,,PH_RULE_EXCESS_DENY_EXT_COUNTRY,Excessive Denied Connections From An External Country,"HOST-10.204.1.13,HOST-120.126.192.41,Sonicwall,paloalto","srcGeoCountry:Indonesia,",,,,,,MEDIUM,7,4101
2020-07-13 17:38:08,,PH_RULE_INAPPROPRIATE_WEB_TRAFFIC,Inappropriate Website access detected,HOST-120.126.192.41,"srcIpAddr:192.168.106.252,",192.168.106.252,,,,,MEDIUM,7,4792
2020-07-13 17:38:08,,PH_RULE_INAPPROPRIATE_WEB_TRAFFIC,Inappropriate Website access detected,HOST-120.126.192.41,"srcIpAddr:192.168.106.139,",192.168.106.139,,,,,MEDIUM,7,1377
2020-07-13 17:38:08,,PH_RULE_INAPPROPRIATE_WEB_TRAFFIC,Inappropriate Website access detected,HOST-120.126.192.41,"srcIpAddr:192.168.131.183,",192.168.131.183,,,,,MEDIUM,7,3299
2020-07-13 17:38:08,,PH_RULE_EXCESS_DENY_EXT_COUNTRY,Excessive Denied Connections From An External Country,"HOST-10.204.1.13,HOST-120.126.192.41","srcGeoCountry:China,",,,,,,MEDIUM,7,10809
2020-07-13 17:38:08,,PH_RULE_EXCESS_DENY_EXT_COUNTRY,Excessive Denied Connections From An External Country,"HOST-10.204.1.13,HOST-120.126.192.41","srcGeoCountry:Netherlands,",,,,,,MEDIUM,7,9984
2020-07-13 17:38:08,,PH_RULE_EXCESS_DENY_EXT_COUNTRY,Excessive Denied Connections From An External Country,HOST-10.204.1.13,"srcGeoCountry:India,",,,,,,MEDIUM,7,5126
2020-07-13 17:38:08,,PH_RULE_EXCESS_FAILED_LOGON_2_NET_DEV,Multiple Logon Failures: Net Dev,paloalto,"srcIpAddr:69.117.44.110,",69.117.44.110,,"destName:paloalto, destIpAddr:10.204.1.13, user:,",10.204.1.13,,MEDIUM,8,1
2020-07-13 17:38:08,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.189.191.55,",10.189.191.55,,"destIpAddr:120.126.198.60, destIpPort:23,",120.126.198.60,,HIGH,9,1
